"DIA","MES","PERIODO","accidentes"
25,3,2015,135
26,3,2015,112
27,3,2015,126
28,3,2015,110
29,3,2015,70
30,3,2015,124
31,3,2015,99
1,4,2015,115
2,4,2015,60
3,4,2015,35
4,4,2015,69
5,4,2015,56
6,4,2015,124
7,4,2015,103
8,4,2015,132
9,4,2015,116
10,4,2015,141
11,4,2015,118
12,4,2015,72
13,4,2015,135
14,4,2015,108
15,4,2015,105
16,4,2015,135
17,4,2015,140
18,4,2015,117
19,4,2015,53
20,4,2015,136
21,4,2015,147
22,4,2015,101
23,4,2015,145
24,4,2015,147
25,4,2015,111
26,4,2015,93
27,4,2015,131
28,4,2015,135
29,4,2015,132
30,4,2015,132
1,5,2015,78
2,5,2015,109
3,5,2015,79
4,5,2015,139
5,5,2015,112
6,5,2015,114
7,5,2015,141
8,5,2015,117
9,5,2015,143
10,5,2015,103
11,5,2015,136
12,5,2015,150
13,5,2015,123
14,5,2015,108
15,5,2015,136
16,5,2015,131
17,5,2015,65
18,5,2015,77
19,5,2015,133
20,5,2015,120
21,5,2015,132
22,5,2015,147
23,5,2015,114
24,5,2015,62
25,5,2015,137
26,5,2015,113
27,5,2015,124
28,5,2015,116
29,5,2015,122
30,5,2015,115
31,5,2015,90
1,6,2015,131
2,6,2015,118
3,6,2015,150
4,6,2015,114
5,6,2015,119
6,6,2015,136
7,6,2015,78
8,6,2015,66
9,6,2015,124
10,6,2015,133
11,6,2015,111
12,6,2015,123
13,6,2015,88
14,6,2015,70
15,6,2015,70
16,6,2015,125
17,6,2015,112
18,6,2015,110
19,6,2015,134
20,6,2015,108
21,6,2015,71
22,6,2015,93
23,6,2015,116
24,6,2015,123
25,6,2015,98
26,6,2015,120
27,6,2015,109
28,6,2015,37
29,6,2015,62
30,6,2015,126
1,7,2015,110
2,7,2015,112
3,7,2015,103
4,7,2015,114
5,7,2015,69
6,7,2015,139
7,7,2015,129
8,7,2015,137
9,7,2015,122
10,7,2015,123
11,7,2015,107
12,7,2015,86
13,7,2015,134
14,7,2015,129
15,7,2015,147
16,7,2015,121
17,7,2015,143
18,7,2015,119
19,7,2015,74
20,7,2015,74
21,7,2015,125
